sentence,label,idx

text,1,0

"I enjoyed some of the Lunar New Year festivities at DCA. Loved Mulan's processional.

新年快乐 (Happy New Year!) May the Lord bless us with the wisdom to know what to ask for, prosperity in… https://t.co/pCsKU9FAZM",1,1

Epcot #disneyworld #orlando #florida #eeuu #usa #todoelveranovendiendohorchataparaesto #holidays #vacaciones #disney #parquetematico #turista #turismo #tourist #viajar #viajero… https://t.co/gTMOYYOVq1,1,2

"Chinese New Year Fun! Lanterns,  chopsticks, rice, Chinese meditation music and fortune cookies all tied in with tons of research! Such an exciting day! @BrodnickiSchool #d109pride #adventuresofabulldog https://t.co/k5K37maueu",1,3

Our Lunar New Year Celebration was an amazing event tonight! 🧧 🐖 🐉 🥠 #LunarNewYear #YearOfThePig #powerfulandproductivedayatis228 #BoodyStudentsAreRockStarStudents https://t.co/lRmNPyQRaX,1,4

"Lunar New Year celebrations continue at Disney California Adventure through Feb. 17, 2019! 🐷

#ThemeParkConnect #LunarNewYear #YearOfThePig #DisneylandResort #Disneyland #DisneyCaliforniaAdventure #DisneyParks #DisneyParade #OrangeCounty #Anaheim @DisneylandToday @DisneyParks https://t.co/Y0iu35ADan",1,5

Join us for the Lunar New Year Festival and enjoy Asian food as we celebrate the Year of the Pig 🐷 🎊 #happylunarnewyear https://t.co/e5U2nEnIQz,1,6

"So the lunar new year event ends tomorrow, what do you guys think we will get for Valentine’s Day?",1,7

"Thanks to the presenters, student performers and community members for helping us celebrate the Lunar New Year! The well- presented information was delightful and our students and staff learned a great deal about the Chinese culture and the celebration of the Lunar New Year. https://t.co/yxaXK03GQG",1,8

@PSLToFlushing Soooo ready for baseball!! Happy New Year! @Mets @QU,1,9

"A3: we need not only to incorporate Black History Month, but also Hispanic heritage, Chinese New Year, etc. We need to share other cultures in order to be 100% accepting and responsive #FlocabChat",1,10

@codesparkapp @BookSmith123 So lunar new year is not a game?,1,11

"Fortune &amp; Flames🔥🔥

The @adidas x @MrEddieHuang Chinese New Year Ultraboosts arrived at my doorstep.

Hands down the best UB CNY to date. https://t.co/Um2ZZLGFrI",1,12

"Today on increasing with God, the Lord our God is faithful and ready adn quick to forgive, his love is neve failing and is mercy is unending... God is love, happy new year blessings and love!!!",1,13

I completely forgot about Chinese New Year so I'm absolutely not going to get those jerseys,1,14

"@LCARS_24 That sounds like something he would say. Bless his heart. 
P.S. Hello Bill and happy New Year.",1,15

a lottle late but happy chinese new year! #CNY2019 🧧🐷 https://t.co/OxG0DQxE7I,1,16

@CHawleyFOX13 I AM SORRY FOR TAKING TOO TOO LONG TO SAY THIS TO YOU CATHERINE-HAPPY NEW YEAR TO YOU AND HAPPY VALENTINE 'S DAY-@bozmatt1 https://t.co/px6Vfl1Abj,1,17

"ICY DOCK Chinese New Year Giveaway - Simply answer the question for a chance to win a M.2 SATA SSD to 2.5"" SATA SSD Form Factor Conversion Kit https://t.co/UeMmZruohv",1,18

"Fulton students had a great time learning and sharing about Chinese culture, exploring the 12 zodiac signs, and celebrating the Lunar New Year. Happy New Year! https://t.co/ay7U4Cv4M3",1,19

"A lucky prize to start the Lunar New Year with the US China Chamber of Commerce 😊👏🙌 
#chinesenewyear #chicago #globalbusiness #property https://t.co/bnErhjSkGK",1,20

"Happy New Year, @OddSalon'ians! Time for #somethingweird, something ... a. https://t.co/OfBFYaLVNY",1,21

Cheers! Chun Jie Kuai Le! Happy Spring Festival! #Throwback from a #dumpling #dumplingparty celebrating the #yearofthepig #chinesenewyear2019 #chinesenewyear #dinner #tbt #chinese #pork… https://t.co/QzN0MFn3ow,1,22

Chun Jie Kuai Le! Happy Spring Festival! #Throwback from a #dumpling #dumplingparty celebrating the #yearofthepig #chinesenewyear2019 #chinesenewyear #dinner #tbt #chinese #pork #cabbage… https://t.co/F1F2NqYisg,1,23

Tough day on the campaign trail including a dragon attack at Lunar New Year Celebration lunch in Chinatown @ Jing Fong Restaurant https://t.co/OxFDz9AWAO,1,24

"Tempeh never looked so delicious, or cute! 😍
#Repost lettuceatvegan 
vegan orange “chicken” tempeh! i finally checked out the lunar new year celebration in california adventure before it… https://t.co/y91SLIzLKG",1,25

You don’t have to have been born in the year of pig in order to pig out on all the Lunar New Year foods at Disney’s California Adventure! Purple Yam Mickey shaped Macaron… https://t.co/BYNhiV23fw,1,26

Happy Chinese New Year... It's the Year of the _ _ _ !   https://t.co/ftcNYm9LEb  #chinesenewyear,1,27

"Lunar new year, my birthday, good ass trip w my friends, new music from @Kehlani , bitch FEBRUARY IS MY MONTH",1,28

"WWE SmackDown LIVE results, Feb. 12, 2019: The Viper strikes and secures the most coveted spot in the Elimination Chamber Match https://t.co/LDgTpwelVk via @wwe HAPPY NEW YEAR 2019 WWE!",1,29

Thay and the Sangha preparing for Lunar New Year https://t.co/VLOOTalfmf,1,30

Crystal Meth Is North Korea’s Trendiest Lunar New Year’s Gift https://t.co/E1DlsSqA2l,1,31

Here is a photo from the Chinese New Year celebration that took place at the Irvine Spectrum Center. This was the meditation group. @irvinespectrum     #J311 https://t.co/LL7exEezV2,1,32

How are you almost 22 but you still get close to 1k for Chinese New Year wtf 🙃,1,33

@realDonaldTrump For you or your buddy.. Happy New year,1,34

"Now that’s what I call a Cantonese classic! Continuing to ring in Lunar New Year 2019 with some epic feasts!!! #wonkokrestaurant in #SF is not a joke, and no games were played here. The… https://t.co/4nVkUKPC4F",1,35

"I don’t mind being single over #ValentinesDay💕 every year💗. I don’t care if #love❤️ is in the air, yet, I’m alone every year💘. However, every year💝, some stupid🖕ass🤬idiot says “ValentiMe’s Day” and it makes me want to commit 🔫murder 🔪. #holidays #traditions",1,36

Just entered to win a @Kahikifoods Chinese New Year LootBox! So crazy! I want it to be mine! #kahiki https://t.co/SO6e9HqzW1,1,37

Epcot #disneyworld #orlando #florida #eeuu #usa #todoelveranovendiendohorchataparaesto #holidays #vacaciones #disney #parquetematico #turista #turismo #tourist #viajar #viajero… https://t.co/ejaL1W3amT,1,38

"Did you know today is the Laba Festival of #Lunar New Year, marking the beginning of Spring. Memorials are being held today to pray for good fortune and we are excited for the special performance by #Boulanger Orchestra for @marty_walsh later this morning at @josiahquincyschool! https://t.co/mYFxTRcScL",1,39

https://t.co/leZVaDFh7X #ChampionsTKD #TeamFlushing #CMA,1,40

Bringing Home The Bacon: Lunar New Year Presents Opportunities For Those Born In The Year Of The Pig https://t.co/02OPqk0ZFX https://t.co/FJ2y1lvJNS,1,41

I would order some fakes during Chinese New Year. Killing my stunt game.,1,42

"Soon as your tax return hit your account, here comes the debt collectors calling you... y’all ain’t call me in a year to see how I’m doing or wish me a happy new year so don’t hit my phone now..",1,43

"Happy New Year!

My Flag pin broke today.  😢. I guess after 15 years on my sweaty oily head it had enough. https://t.co/CoKbui9aao",1,44

"I was very moved to see the traditional Asian lunar new year performances at the White House yesterday. As a minority growing up in the Midwest, I spent the better part of my youth hiding… https://t.co/qsvmHqFfOl",1,45

"Chinatown Head Start Lunar New Year Celebration. (@ Chinatown Headstart in New York, NY) https://t.co/oL5wZVGOvP",1,46

Quality Lunar New Year content https://t.co/vQwKV3YmDG,1,47

Great experience with one of the best Chinese forensic scientists in the world Dr Henry Lee. Honored during the Chinese New Year celebration. #unaversoulvibes #unaversoul #unaversoulkids… https://t.co/z848cEHs9t,1,48

Happy Belated Lunar New Year! 🧧 🐷🐽 #恭喜发财 @ Fay Da Bakery https://t.co/h9xvrilolS,1,49

"This Sunday, 2/17, is the last day to get the Lunar New Year special. Did you get yours yet?! 🀄️🧧🏮
.
Half chocolate half sesame bubble waffle topped with Gold Rush (salted egg custard) ice… https://t.co/sX9AuCKwLE",1,50

@OaktownPirate Whr u been. Happy New Year! Keepem Sharp! 💃🏽,1,51

Did a shoot for Chinese New Year &amp; had so much fun🤩🧧💃🏻 S/O to @julian_4869 &amp; @Fidelis_Dj for bringing that heat🔥📸 #Photoshoot #Photography #ChineseNewYear #MirrorPic #GoodMorning @ Orange… https://t.co/tDPcID4pWD,1,52

"I love my school!❤️
Happy Lunar New Year

@BostonPartners https://t.co/AEMrqVUSlZ",1,53

"Celebrate the Lunar New Year! 
1P 2:00-3:00
2A 206 4:00-5:30
There’s dumpling demonstration by Lin Laoshi!!!
#lunarnewyear #celebrate #dumpling #Chinesecalligraphy #csi #cuny #ny 場所:… https://t.co/csQfLw7YhP",1,54

"https://t.co/5VXDc0DAAV Sunday February 17th, lets meet at 3rd and Fairfax! LUNAR NEW YEAR CELEBRATION: YEAR OF THE PIG 💫",1,55

"Mott Street Senior Center Chinese New Year Celebration. (@ Royal Seafood Restaurant in New York, NY) https://t.co/SrdZcJdfnI",1,56

Thanks to the @stjohnsprep Chinese Cultural Club for hosting an awesome Chinese New Year Party!! @TheNestSJP https://t.co/rOlmw8Padv,1,57

"A wonderful Lunar New Year parade with @CCC_LA, @cmgilcedillo, @MayorOfLA, @LAPDChiefMoore and many others! 🧧 🐷 https://t.co/OL3i4zIpB3",1,58

"Today on increasing with God, Share and lend, give to the poor and needy,  rejoice and be glad, for our savior comes, the Lord God our kIng has made eternal provision. God is love, happy new year blessings and love!!!",1,59

"I hope I helped someone today, and loved everyone. I love us God is love, happy new year blessings and love!!!",1,60

Dis girl is revamping her youtube channel! Better quality videos on the way! Until then check out my review of DCAs Lunar New Year that ends on Sunday!! ⬆️Link in bio⬆️… https://t.co/8VMQZuVdrB,1,61

"I'm running to win @Foscam R2E ip camera, come to join with me #win #giveaway #competition #freestuff https://t.co/Ki2EL1Wiwv",1,62

News International:       Acting U.S. Defense Secretary Makes Surprise Visit to Iraq;     Crystal Meth Is North Korea’s Trendiest Lunar New Year’s Gift        Via @sjdailystar          https://t.co/svGNjHuyez https://t.co/bVVCv1nyFC,1,63

"God is love, happy new year blessings and love. https://t.co/Wv9wrzq98O",1,64

"por fin el maestro juanlu_guerrero ha terminado el vídeo de #newyork #nuevayork #holidays #summer2018 #family consuelobolea @missy_anita en New York, New York https://t.co/8UAnfNV3Fc",1,65

i've just had two different encounters with racists as i traveled to shop for an outfit for a lunar new year party i'm working tonight and i  thought i should write something really interesting and profound about it considering the irony but really i just want to cry,1,66

My wife in Hong Kong for Lunar New Year 😘 https://t.co/55tin8KYvL,1,67

Lunar New Year event ends in 45 minutes! I’m so anxious to see what we get for V-day 😍,1,68

"I was away last week, but I didn’t forget it was Chinese New Year! May everyone have a prosperous and joyous year! Be good to each other and yourself. Sending love and happiness to you… https://t.co/tERnk8jVEx",1,69

Someone better jump the happiest place on Earth and just wake them up. Pigs and Chinese New Year ... Where's #promdress guy? https://t.co/MQ3fXL6GGv,1,70

"x Lunar New Year Vibes x An iconic Chinese American culinary mainstay in the city. A father (owner) sharing the customs with his kids; the new generation, with a traditional rhythm… https://t.co/SEVUr6M9gc",1,71

"@BobapopUSA Thanks for making your first donation of teas today! 
We love the dog with the pig hat in honor of the Lunar New Year, entering the Year of the Pig. 🐶🐷

🥤 #NewFoodDonorAlert 🥤
#FoodDonor #Kentlands https://t.co/SMT1Q3VCtq",1,72

"🥤 #NewFoodDonor Alert 🥤
Thanks to @BobapopUSA Tea Bar in #Gaithersburg for making their first donation of teas today! The dog with the pig hat is in honor of the Lunar New Year, entering the Year of the Pig. We like it. 🐶🐷

#FoodDonorPartner https://t.co/UAEx4uiOqQ",1,73

Thank you to the Milpitas Chinese Evergreen Club for hosting today’s Lunar New Year event and for all your work to bring seniors together in our community. https://t.co/RE6NVGJ6N0,1,74

Lunar New Year celebration @nyphospital LMH 🎉Gong hei fat choy🐖 #liondance #diversity #NYPRespect @WillieMManzano @JoanHalpern @J_MMejia @AlexaShelleyFNP @LaurenStoerger @AmaM_RN https://t.co/mDQizJkAtE,1,75

Have a holly jolly holiday tomorrow! #valentinesdayeve ❤️💋👄 Watching the Christmas Chronicles yesterday ✨ It’s a snowy wintery day so why not?? #letItSnow #HaveAHollyJollyChristmas #christmaschronicles #thechristmaschronicles #holidays @NetflixFilm @netflix https://t.co/PxwjDwPOsh,1,76

"7 Lucky Foods to Eat During Chinese New Year, Spring Festival Food https://t.co/Dq4aQCyy5p@ mvhgxwqsh",1,77

Went to Trolley Treats to grab my favorite Disney cookie and they had the Lunar New Year AP buttons at the counter 😍♥️ @ Buena Vista Street https://t.co/SJnIxg0Qly,1,78

Magic Kingdom #disneyworld #orlando #florida #eeuu #usa #todoelveranovendiendohorchataparaesto #holidays #vacaciones #disney #parquetematico #turista #turismo #tourist #viajar #viajero… https://t.co/iFniRfMCNZ,1,79

